,support,itemsets,length,frequency
468,0.009506885828520658,"frozenset({'FIR', 'LMM'})",2,107
479,0.0037316748111950243,"frozenset({'FPEF', 'IPU'})",2,42
361,0.002132385606397157,"frozenset({'DECLIC', 'EXPRESS Rack'})",2,24
346,0.0020435362061306086,"frozenset({'MWA', 'CIR'})",2,23
481,0.0018658374055975121,"frozenset({'FPEF', 'MWA'})",2,21
483,0.001776988005330964,"frozenset({'FPEF', 'Ryutai'})",2,20
401,0.0015992892047978675,"frozenset({'MSPR', 'ELF'})",2,18
243,0.0014215904042647713,"frozenset({'MSG', 'BXF'})",2,16
373,0.0010661928031985785,"frozenset({'EDR', 'EML'})",2,12
345,0.0009773434029320303,"frozenset({'MSG', 'CIR'})",2,11
339,0.0009773434029320303,"frozenset({'EXPRESS Rack', 'CIR'})",2,11
631,0.000888494002665482,"frozenset({'SUBSA', 'MSG'})",2,10
469,0.0007107952021323857,"frozenset({'FIR', 'MELFI'})",2,8
493,0.0006219458018658375,"frozenset({'FSL', 'MVIS'})",2,7
342,0.000444247001332741,"frozenset({'LMM', 'CIR'})",2,5
471,0.0002665482007996446,"frozenset({'MSG', 'FIR'})",2,3
377,0.0002665482007996446,"frozenset({'EDR', 'FSL'})",2,3
427,0.00017769880053309641,"frozenset({'FIR', 'EXPRESS Rack'})",2,2
429,0.00017769880053309641,"frozenset({'FSL', 'EXPRESS Rack'})",2,2
562,0.00017769880053309641,"frozenset({'MSRR-1', 'KERMIT'})",2,2
441,0.00017769880053309641,"frozenset({'MSL', 'EXPRESS Rack'})",2,2
426,0.00017769880053309641,"frozenset({'ETC', 'FSL'})",2,2
492,0.00017769880053309641,"frozenset({'MSG', 'FSL'})",2,2
347,0.00017769880053309641,"frozenset({'SAMS-II', 'CIR'})",2,2
399,0.00017769880053309641,"frozenset({'ELF', 'GN2'})",2,2
591,8.884940026654821e-05,"frozenset({'MELFI', 'MSRR-1'})",2,1
532,8.884940026654821e-05,"frozenset({'MSL', 'Hermes'})",2,1
636,8.884940026654821e-05,"frozenset({'MSL', 'SAMS-II'})",2,1
644,8.884940026654821e-05,"frozenset({'SAMS-II', 'MSRR-1'})",2,1
561,8.884940026654821e-05,"frozenset({'MSL', 'KERMIT'})",2,1
625,8.884940026654821e-05,"frozenset({'MSG', 'PFMI'})",2,1
260,8.884940026654821e-05,"frozenset({'CB', 'CIR'})",2,1
480,8.884940026654821e-05,"frozenset({'FPEF', 'MSPR'})",2,1
472,8.884940026654821e-05,"frozenset({'FIR', 'MWA'})",2,1
467,8.884940026654821e-05,"frozenset({'IPU', 'FIR'})",2,1
443,8.884940026654821e-05,"frozenset({'MSRR-1', 'EXPRESS Rack'})",2,1
494,8.884940026654821e-05,"frozenset({'FSL', 'Mass Measurement Device'})",2,1
364,8.884940026654821e-05,"frozenset({'MSG', 'DECLIC'})",2,1
362,8.884940026654821e-05,"frozenset({'GLACIER', 'DECLIC'})",2,1
428,8.884940026654821e-05,"frozenset({'FPEF', 'EXPRESS Rack'})",2,1
402,8.884940026654821e-05,"frozenset({'ELF', 'SlingShot'})",2,1
